distance_km,lead_time_days,supplier_count,transport_mode,weather_risk_score,port_congestion_index,predicted_delay_days
4051.2,51.0,37,Air,84.3,0.0,7.0
3264.9,41.0,15,Road,11.8,0.1,7.44
4482.5,41.5,37,Road,64.4,0.7,11.61
1363.3,53.3,23,Road,5.7,9.4,5.63
3953.8,47.6,6,Road,15.7,6.0,8.39
2715.7,12.4,33,Rail,51.2,9.3,6.39
2041.8,18.1,5,Road,4.6,1.3,4.0
1005.5,13.2,21,Road,19.6,0.3,3.95
3324.1,62.5,28,Rail,13.6,5.4,7.94
4069.1,47.8,21,Road,4.1,1.8,9.03
1062.7,39.0,24,Sea,97.1,8.6,11.32
793.4,72.0,28,Rail,45.0,4.2,6.68
3134.5,29.7,11,Road,85.9,7.7,8.27
4396.5,51.3,22,Rail,35.8,5.2,8.45
3376.0,7.2,34,Road,4.3,5.3,7.15
1284.2,67.1,37,Rail,69.6,6.8,7.79
1892.7,62.7,17,Road,3.9,3.4,6.23
1732.5,72.3,15,Road,55.3,9.5,7.65
3835.2,79.7,29,Rail,13.9,4.0,8.76
3472.3,68.3,34,Air,67.1,4.0,6.96
2652.4,76.1,22,Multimodal,89.3,7.1,13.79
1240.9,31.4,27,Rail,95.6,6.4,6.25
4221.3,31.2,38,Road,52.8,10.0,10.42
2941.7,85.0,15,Road,53.3,8.5,9.77
4367.3,82.4,21,Road,3.8,2.8,11.04
2612.6,49.6,4,Rail,77.0,1.0,7.09
3696.3,33.3,18,Road,95.6,1.1,9.98
3659.9,78.0,7,Air,43.8,3.6,5.8
1521.3,29.4,16,Road,79.4,4.8,6.15
4338.3,14.3,35,Road,79.7,6.4,10.83
103.6,57.7,12,Road,78.6,8.6,5.11
3460.4,4.3,7,Sea,75.9,9.9,14.27
4345.2,34.4,10,Rail,21.5,4.1,6.82
1528.4,72.8,1,Rail,75.1,5.5,6.53
2918.3,26.9,12,Road,14.4,6.0,6.18
2532.2,83.9,27,Sea,71.3,5.6,15.13
3428.0,86.0,28,Road,0.4,0.9,10.01
3898.5,73.5,18,Air,91.9,1.2,7.01
2715.7,88.9,1,Rail,82.7,8.9,8.47
3672.5,48.0,23,Road,68.3,6.8,10.02
1408.7,51.4,39,Rail,9.4,6.8,6.12
1032.5,75.3,17,Rail,82.5,8.1,7.09
1940.9,44.6,1,Road,87.5,0.8,6.85
3051.4,36.9,38,Air,68.8,4.2,5.63
846.7,55.5,4,Road,97.6,2.5,5.81
3063.2,59.4,15,Road,9.3,6.6,7.8
1776.5,67.7,21,Road,70.9,2.1,8.15
3581.1,60.3,21,Road,52.5,6.9,9.81
170.6,67.2,22,Rail,14.6,3.9,4.87
3007.6,60.9,14,Road,65.8,4.4,9.15
2926.0,43.5,35,Rail,80.0,8.2,8.31
4234.5,12.6,4,Road,16.5,3.5,7.33
3211.6,70.8,35,Multimodal,79.3,2.6,13.68
3584.4,3.3,32,Rail,9.3,8.5,5.71
4071.1,89.3,28,Sea,59.1,6.9,18.87
3039.4,74.6,12,Road,79.8,4.0,9.96
1309.2,60.5,30,Road,14.6,5.0,6.58
3914.6,87.0,9,Road,57.2,3.5,10.78
3365.4,55.3,19,Rail,42.5,5.5,7.52
1912.8,5.6,16,Air,60.7,1.4,2.93
3198.8,50.6,30,Road,42.4,8.9,9.28
3905.3,25.3,1,Road,25.1,5.5,7.51
4390.6,33.6,23,Air,25.4,3.9,4.21
4285.8,41.6,12,Road,86.5,5.7,10.44
1467.3,69.8,5,Rail,15.6,1.6,5.21
1900.5,45.5,20,Rail,12.3,0.8,5.43
497.4,43.0,3,Sea,9.7,5.5,6.41
1117.7,27.5,2,Road,7.4,0.7,3.34
3971.5,48.8,20,Road,1.4,6.6,8.89
1627.0,22.7,2,Rail,16.0,8.0,3.59
2794.4,23.9,35,Multimodal,19.3,9.9,11.96
2998.5,68.3,4,Road,27.0,7.7,8.14
3519.3,31.2,36,Road,12.4,9.7,8.51
826.7,5.1,6,Rail,9.4,0.2,2.03
1375.1,31.3,14,Multimodal,54.1,5.6,8.1
2020.3,57.7,15,Sea,71.9,1.6,11.57
1645.0,73.4,37,Multimodal,63.0,2.5,10.81
4423.2,86.6,33,Road,55.7,7.3,12.91
3758.1,67.3,19,Road,44.1,2.5,10.33
2161.2,38.9,12,Rail,63.4,1.8,6.32
3957.3,27.3,9,Sea,90.2,3.7,14.89
1567.7,12.1,19,Road,62.7,0.8,5.5
3537.3,56.7,32,Road,6.1,1.5,9.27
1010.4,46.1,28,Sea,57.0,1.5,8.97
3476.6,61.2,28,Road,52.4,2.3,9.96
2056.8,21.7,31,Road,45.2,8.7,6.64
488.2,29.5,36,Rail,56.9,3.0,5.17
1233.3,26.6,13,Rail,67.3,2.7,4.64
1813.2,71.9,33,Sea,3.7,1.3,10.91
3373.1,15.8,18,Road,48.0,0.2,7.77
333.1,55.0,29,Rail,81.7,1.6,6.48
2969.7,5.1,39,Rail,53.1,7.2,6.51
3223.5,49.7,8,Rail,6.8,9.7,5.96
2944.4,6.2,22,Rail,77.5,7.4,6.3
3424.2,16.2,1,Road,94.1,8.5,8.04
805.9,10.6,31,Road,85.2,7.9,5.3
2644.0,31.5,20,Road,36.3,3.0,7.11
4235.4,31.3,36,Road,53.5,7.3,10.4
2750.5,74.5,23,Rail,59.1,7.5,8.38
2753.0,20.7,17,Sea,71.6,2.6,11.86
3315.3,8.2,10,Sea,66.6,9.2,13.73
1502.8,54.5,9,Sea,19.9,10.0,10.69
3153.6,62.0,17,Road,84.3,5.6,9.77
4123.5,26.9,3,Road,84.9,3.2,9.03
54.0,54.5,33,Road,40.4,3.6,5.14
3916.2,70.0,1,Road,13.1,5.8,8.99
987.7,31.6,20,Road,60.9,0.1,5.22
2054.4,47.5,2,Rail,35.7,3.1,5.01
3836.3,13.6,16,Multimodal,74.1,0.5,11.33
3708.5,2.6,9,Road,31.6,6.2,6.67
4014.2,88.3,14,Road,26.3,6.0,10.64
4232.2,27.3,1,Sea,86.8,5.9,15.6
2015.0,25.5,35,Road,61.6,1.5,7.32
2955.4,87.6,18,Sea,8.6,9.4,15.73
1760.2,65.7,1,Sea,68.9,5.3,11.37
1581.5,52.9,5,Multimodal,75.3,5.6,9.21
1945.0,63.1,11,Road,23.5,5.4,6.66
3345.1,64.0,38,Rail,96.8,5.2,10.15
2259.0,68.8,24,Rail,37.3,9.4,6.93
3664.2,6.5,39,Rail,94.1,6.0,8.17
3354.8,37.4,32,Road,29.4,4.9,9.02
97.1,26.9,16,Road,60.9,7.7,3.66
2837.9,6.8,3,Rail,51.8,2.5,4.6
1967.4,37.4,8,Rail,99.2,1.9,6.47
2057.5,55.6,32,Sea,40.8,4.4,12.45
3683.6,16.5,22,Sea,17.9,0.2,12.32
2466.5,27.8,17,Rail,83.3,2.9,6.63
3985.9,57.7,27,Road,4.2,4.2,9.75
3209.1,52.3,3,Sea,88.5,5.8,14.52
2490.0,78.3,26,Rail,11.1,5.4,7.24
3396.6,71.3,35,Air,57.2,3.7,6.79
177.4,86.9,13,Air,71.3,3.4,5.62
126.7,53.9,17,Road,33.6,0.0,4.35
379.7,63.0,30,Sea,84.5,8.8,11.04
1971.9,77.5,29,Road,59.4,2.3,8.98
1063.3,75.7,14,Road,39.5,3.6,6.63
4429.3,64.8,30,Rail,32.5,0.2,9.25
2442.6,45.3,37,Road,11.2,9.6,7.52
2982.6,25.0,38,Sea,64.0,4.9,14.12
1258.3,79.0,9,Road,36.4,0.2,6.64
1451.5,70.0,32,Road,32.1,2.5,7.35
1512.9,75.5,4,Rail,95.0,8.8,7.46
3145.8,13.1,6,Sea,27.3,3.8,11.27
2134.3,28.7,1,Air,87.7,6.9,3.94
2332.0,38.5,25,Sea,97.5,6.1,13.63
2666.1,75.5,38,Rail,82.3,4.7,9.57
3460.8,80.4,3,Road,2.0,8.3,8.69
411.2,26.0,21,Road,86.9,0.4,4.36
3497.0,61.9,14,Road,21.3,9.1,8.79
2536.7,7.5,30,Rail,35.3,7.2,5.48
3012.6,37.2,2,Rail,99.2,8.6,6.76
1477.3,44.1,22,Road,40.5,0.2,6.02
1845.2,69.0,13,Sea,65.5,0.8,11.05
1044.1,80.3,25,Rail,31.1,2.1,6.54
4407.0,30.7,11,Road,36.9,5.9,8.97
2239.0,47.7,10,Road,59.8,0.9,7.01
4482.4,58.4,37,Sea,94.8,9.3,20.45
2206.6,29.9,25,Sea,28.2,7.5,11.91
992.8,88.7,35,Air,24.7,8.1,6.3
2286.0,78.9,19,Road,2.6,5.8,7.82
183.0,27.0,28,Multimodal,20.2,6.3,5.8
4071.9,46.0,10,Road,26.2,2.2,9.11
3684.4,21.2,15,Road,6.3,9.1,7.0
3267.6,46.5,32,Multimodal,56.4,6.5,13.4
2746.2,61.7,3,Road,12.7,4.2,7.2
2611.4,8.2,24,Rail,51.1,8.8,5.26
4485.3,78.4,10,Road,18.9,8.6,10.7
1254.6,53.6,30,Rail,93.6,0.0,7.31
3509.7,89.1,33,Air,30.7,9.2,7.03
2618.4,2.8,25,Road,9.3,3.6,5.54
4391.6,74.9,39,Rail,83.6,4.2,11.15
3726.0,71.4,39,Road,40.2,0.9,11.35
4493.4,12.4,25,Rail,82.0,8.8,8.09
2649.5,30.5,38,Road,31.2,5.4,7.65
924.4,79.7,12,Road,50.0,9.1,6.48
2269.1,46.9,4,Road,44.5,7.8,6.46
3201.4,36.4,28,Road,55.8,9.0,8.96
3485.7,81.5,20,Air,40.2,9.5,6.09
7.3,8.9,10,Road,49.7,8.9,2.56
2275.1,42.8,31,Road,67.9,2.1,8.26
1062.4,58.9,19,Road,41.5,0.7,5.82
3937.7,55.0,2,Road,68.4,6.2,9.59
692.3,24.2,4,Sea,71.4,1.6,6.58
3000.7,50.9,15,Multimodal,74.9,8.6,12.87
1200.9,63.9,38,Road,47.1,9.5,7.54
1607.7,52.8,33,Air,0.4,1.2,4.69
4232.8,61.8,18,Rail,75.4,2.4,9.62
1085.8,23.4,32,Road,90.9,6.3,6.39
432.0,75.0,32,Rail,65.3,7.3,6.81
316.4,40.7,13,Rail,52.5,5.1,4.26
2273.2,88.9,16,Rail,56.0,3.7,8.24
2889.5,2.6,33,Air,64.1,3.1,4.16
1476.2,34.5,34,Road,99.9,6.7,7.76
3107.7,16.7,14,Air,6.2,7.4,2.6
279.3,50.2,2,Sea,2.1,2.9,5.54
3858.7,22.3,13,Rail,96.4,3.3,7.45
3675.5,66.5,29,Rail,44.0,4.6,8.87
4434.8,79.4,34,Road,61.2,4.5,13.02
4214.6,19.4,17,Multimodal,75.3,8.4,14.05
1606.1,14.9,3,Rail,74.2,4.4,4.5
1799.7,78.8,30,Road,64.7,9.8,9.2
3358.1,32.8,4,Road,47.2,3.1,7.38
607.7,39.4,31,Rail,57.6,6.9,5.83
1416.5,20.3,5,Road,73.0,7.6,5.1
537.8,38.6,2,Road,85.1,6.3,4.74
2049.7,21.2,4,Rail,12.7,3.7,3.57
2486.3,60.1,38,Road,27.8,2.6,8.8
954.2,45.1,27,Road,39.8,6.0,5.55
124.7,71.0,27,Road,66.5,6.6,6.15
3238.5,28.5,15,Road,39.6,2.6,7.64
94.9,45.8,39,Rail,23.9,3.4,4.86
4380.4,23.7,38,Rail,3.3,8.6,7.54
1001.1,84.1,14,Road,84.3,8.1,7.54
2989.2,47.2,18,Road,41.9,1.8,7.89
1959.2,16.0,29,Rail,32.9,9.3,5.04
273.2,24.9,7,Road,53.1,6.3,3.38
2127.5,7.9,38,Road,12.3,5.0,6.13
2327.8,3.0,24,Road,39.7,2.0,5.95
3846.8,47.6,38,Sea,75.2,7.3,17.91
3296.9,30.7,6,Sea,73.6,9.2,14.64
361.5,86.8,20,Sea,77.2,0.6,9.47
945.2,15.8,36,Sea,46.7,5.2,8.95
1406.9,71.6,10,Rail,36.9,8.8,6.05
528.3,28.8,22,Rail,83.1,9.5,5.15
2058.8,20.5,33,Rail,17.3,0.7,5.03
4429.5,87.3,23,Road,72.5,7.9,12.8
2318.2,72.3,4,Rail,88.8,2.8,7.41
3339.8,56.9,21,Sea,28.6,5.4,14.78
3074.8,62.9,13,Rail,19.8,7.8,6.92
3825.4,89.2,13,Road,51.3,5.5,10.91
974.7,53.6,12,Road,21.6,1.1,5.05
3393.4,9.6,24,Rail,87.1,5.9,7.0
3966.7,6.3,35,Rail,24.4,1.2,6.56
775.9,60.2,19,Air,31.4,3.5,4.46
1563.9,59.4,9,Road,88.8,5.6,7.27
4365.6,67.5,13,Sea,20.6,9.9,17.92
3514.6,10.2,22,Rail,88.5,7.3,7.27
1275.2,85.1,36,Air,21.0,3.0,6.04
2539.9,49.8,28,Rail,91.2,8.8,8.06
1822.4,58.6,7,Rail,31.8,2.3,5.5
2207.4,3.6,30,Rail,24.6,3.8,4.66
1601.5,86.5,31,Sea,47.7,6.5,13.3
1260.6,50.9,11,Multimodal,36.9,4.1,7.98
3038.1,50.9,30,Road,20.2,7.3,8.53
3504.5,84.9,15,Road,33.8,6.5,10.1
3933.4,83.7,13,Multimodal,71.3,6.7,15.22
703.2,20.2,35,Rail,83.2,4.2,5.41
3703.7,83.8,35,Rail,82.1,0.6,10.84
1150.3,66.4,20,Rail,75.7,8.7,6.86
1925.9,2.2,23,Road,0.5,0.7,4.43
4057.0,22.0,37,Sea,42.7,4.6,15.92
2048.0,37.5,20,Sea,16.9,3.0,10.26
890.8,52.7,19,Road,7.3,3.0,4.55
723.6,63.3,18,Road,73.6,2.3,6.47
2131.1,19.3,4,Sea,79.3,2.7,9.95
3433.2,75.4,8,Road,81.5,9.6,10.03
4487.4,76.2,30,Air,89.0,9.7,7.99
3544.4,57.3,20,Road,59.0,5.7,10.06
3947.2,82.9,8,Rail,99.8,5.2,10.07
3366.5,73.3,5,Multimodal,48.4,0.5,11.29
4030.0,20.3,34,Rail,88.3,8.0,9.0
347.9,72.0,7,Road,11.3,1.7,4.39
4185.0,85.8,22,Rail,14.9,1.4,9.0
1786.8,12.8,9,Road,59.0,4.2,4.76
4147.7,88.1,11,Road,12.4,3.5,10.42
345.4,2.7,12,Multimodal,7.5,1.0,2.44
3220.0,47.2,8,Sea,19.6,1.5,12.02
3311.9,69.8,32,Rail,78.8,9.9,9.35
4486.1,71.2,17,Road,92.7,7.3,12.21
3461.0,66.3,26,Road,33.3,6.0,9.75
1724.7,47.9,33,Road,97.5,3.0,8.29
2509.8,58.8,26,Rail,81.0,4.3,8.54
1652.6,63.1,22,Sea,22.6,6.3,11.3
886.1,44.8,3,Rail,58.6,7.8,4.73
1122.0,53.8,31,Sea,98.2,9.5,12.78
1002.9,76.2,14,Road,84.9,1.2,7.29
2471.9,28.5,18,Road,36.3,1.9,6.53
4078.2,47.3,34,Road,30.6,5.7,10.48
4107.7,1.3,17,Road,81.9,9.4,8.6
251.2,62.0,12,Road,54.9,4.5,4.85
364.1,18.0,39,Multimodal,16.3,6.3,6.17
1106.8,43.5,33,Road,32.8,2.9,5.97
1151.5,19.3,32,Air,66.2,8.1,4.14
431.5,2.6,21,Road,15.3,6.1,2.54
1751.1,43.7,14,Multimodal,69.9,3.8,9.25
2646.8,38.5,2,Rail,71.0,5.4,5.98
2603.8,38.6,7,Multimodal,27.1,6.9,9.99
2447.7,19.2,15,Road,39.8,2.1,5.99
1527.3,85.3,31,Sea,93.5,3.4,13.26
3180.5,0.8,28,Air,74.9,2.5,4.31
3720.0,80.3,8,Road,78.8,9.6,10.87
1561.5,66.5,7,Road,51.6,0.4,6.61
389.5,15.9,36,Road,21.3,0.6,4.09
1337.0,42.8,10,Multimodal,59.1,3.6,7.86
622.5,89.0,39,Rail,77.2,5.4,8.14
2105.8,58.1,30,Rail,0.4,3.3,6.09
705.9,11.9,5,Road,11.4,8.6,2.61
2085.5,41.5,21,Road,47.4,1.7,6.86
998.4,42.4,6,Sea,43.7,3.6,7.96
3325.6,72.3,16,Road,98.2,4.9,10.81
128.9,82.5,16,Rail,9.2,2.0,5.03
2498.6,7.9,24,Air,32.4,2.9,2.89
766.8,28.6,19,Road,81.5,9.5,5.22
9.5,27.2,19,Rail,61.2,5.2,3.69
3912.1,89.6,37,Road,56.2,8.7,12.43
3023.5,50.6,33,Rail,74.1,2.7,8.65
449.7,79.2,5,Road,4.0,6.1,4.4
2990.0,38.6,9,Sea,94.7,7.6,14.86
2754.4,65.2,21,Road,19.1,4.2,8.11
2132.7,26.1,7,Rail,8.2,6.2,4.03
1889.6,82.1,25,Rail,33.9,8.6,7.68
3992.4,41.2,21,Road,70.2,1.4,10.29
1106.9,72.4,13,Sea,23.1,3.5,9.78
1795.4,23.4,21,Road,5.0,8.2,4.96
1484.4,62.6,10,Rail,5.7,2.3,4.83
3471.5,36.8,24,Road,25.7,5.6,8.41
4124.5,3.3,27,Rail,13.5,4.4,5.87
3824.8,37.5,33,Road,37.2,6.6,9.64
3590.7,49.7,26,Road,17.3,6.7,9.18
4440.6,14.1,36,Road,34.4,5.8,9.74
3138.7,17.0,17,Sea,44.4,9.5,13.76
3381.0,42.1,21,Road,74.3,1.8,9.3
4422.7,31.2,2,Air,22.7,8.4,3.32
36.4,39.9,15,Air,47.5,4.9,3.58
2855.0,41.7,2,Road,81.5,6.6,7.67
3326.7,13.0,7,Rail,98.6,2.7,6.38
4130.6,16.7,36,Road,55.7,0.9,9.73
3977.9,76.4,32,Road,43.2,7.8,11.28
3789.6,15.1,3,Sea,63.2,2.5,12.84
4256.3,60.1,3,Rail,48.6,3.9,7.8
2420.5,38.0,33,Rail,16.5,0.5,6.27
36.1,87.2,25,Road,45.9,6.5,6.11
54.7,6.4,37,Road,97.9,6.9,4.57
2453.2,74.8,36,Road,64.0,9.0,9.8
1961.5,44.5,35,Sea,28.3,8.9,12.75
2033.3,1.0,19,Rail,94.7,7.1,5.45
1804.8,24.1,19,Sea,38.9,3.2,9.73
4130.2,37.0,33,Road,39.0,3.7,9.69
1619.5,28.6,18,Road,61.7,3.8,5.71
3853.7,32.9,27,Road,56.9,1.3,9.76
4063.4,82.5,30,Road,29.0,9.5,11.5
2250.3,32.8,31,Road,46.7,8.2,7.48
2014.0,38.0,39,Sea,33.3,1.5,10.86
3425.8,68.6,3,Air,73.8,9.5,5.59
3187.3,71.5,22,Rail,12.3,8.4,7.41
1481.8,8.0,10,Rail,75.0,9.2,3.95
466.0,63.5,8,Road,16.1,2.9,4.27
1195.5,43.7,34,Air,30.6,3.4,4.79
594.0,12.5,18,Road,33.3,4.7,3.24
1329.8,24.2,12,Multimodal,99.0,2.2,7.59
1181.9,4.5,32,Rail,59.0,4.7,4.47
2871.5,32.7,2,Road,77.8,0.1,7.61
4295.5,23.4,17,Air,55.5,8.8,4.41
3087.4,34.7,12,Road,98.3,1.6,8.79
4170.3,52.4,7,Rail,17.7,5.0,6.87
3529.7,66.0,15,Rail,60.5,9.3,8.26
3276.8,54.7,2,Road,79.7,8.2,9.04
1866.2,61.2,27,Road,62.9,7.8,8.02
1465.0,78.0,26,Rail,89.7,6.1,8.11
3809.0,78.7,25,Sea,60.1,4.4,17.57
4074.7,77.5,12,Road,82.6,4.5,11.53
2036.2,14.2,17,Multimodal,17.6,0.9,6.66
45.7,23.0,1,Road,26.2,0.6,1.89
3567.4,45.5,31,Road,44.4,8.4,9.54
1286.4,32.6,5,Road,85.2,4.1,5.52
49.4,12.3,28,Road,42.7,0.5,3.49
3623.4,26.3,28,Road,62.7,6.6,9.27
2330.8,87.8,8,Multimodal,39.6,6.8,11.45
3085.0,31.5,14,Road,80.6,2.3,8.29
4116.5,38.0,6,Road,20.0,4.1,8.34
2437.6,1.1,18,Road,59.4,5.7,5.74
2266.9,64.9,37,Sea,57.8,6.0,14.12
1311.5,37.5,10,Air,40.3,5.1,3.24
1376.8,9.7,35,Road,70.5,3.6,5.86
3585.5,87.2,35,Road,2.8,0.7,10.63
2023.4,70.1,17,Road,84.1,0.2,8.74
740.1,65.5,27,Road,34.8,4.6,5.9
429.9,86.2,24,Road,79.3,2.0,7.28
2130.8,37.0,10,Road,30.5,9.4,5.88
2095.0,64.8,17,Road,18.8,6.4,7.06
2942.3,19.0,33,Rail,38.9,5.9,6.29
2122.4,62.9,33,Road,79.7,4.1,9.18
649.9,1.8,17,Multimodal,70.4,3.3,5.54
2287.6,11.8,18,Air,40.1,1.8,2.83
4081.0,38.6,38,Rail,93.8,0.6,9.94
721.7,1.6,7,Road,40.9,6.3,2.76
3105.4,41.8,26,Road,35.1,7.8,8.16
2674.4,47.3,1,Road,14.5,8.6,6.52
3369.9,56.1,11,Sea,7.0,7.2,14.4
681.9,9.5,10,Rail,35.0,9.0,2.69
4237.5,16.7,31,Air,9.2,9.8,3.82
2796.2,55.4,25,Multimodal,46.3,9.6,12.93
3812.6,59.4,1,Road,86.0,5.9,9.75
1113.5,2.8,3,Rail,47.6,2.2,2.97
3328.7,48.9,1,Road,48.1,1.1,7.74
3515.7,70.8,7,Road,25.3,9.9,9.0
1791.5,6.7,14,Road,16.6,3.1,4.38
1730.9,37.5,23,Road,22.2,0.3,5.61
2961.8,29.7,17,Air,56.8,3.9,4.23
424.9,82.3,14,Road,59.2,7.5,6.36
3311.6,17.1,9,Rail,22.0,8.9,5.16
197.8,29.0,21,Rail,39.9,4.8,3.89
861.7,80.9,2,Rail,56.9,2.9,5.76
2990.3,30.1,32,Road,76.0,7.8,8.82
447.0,48.1,8,Air,32.0,5.0,3.23
4373.4,3.5,36,Rail,27.1,0.9,7.01
3908.4,88.6,26,Road,73.0,8.9,12.31
2820.2,74.3,37,Road,51.4,6.6,10.27
3686.7,57.3,15,Rail,85.7,0.4,8.89
3994.7,5.9,34,Sea,21.1,0.1,13.23
1171.3,7.2,21,Rail,77.1,0.9,4.43
3823.1,49.3,23,Sea,16.2,8.2,15.74
880.6,26.0,9,Rail,58.5,4.8,4.18
1863.0,56.2,26,Road,28.4,3.4,7.23
2514.4,54.0,22,Road,10.1,2.5,7.6
3213.9,75.6,13,Road,61.7,5.1,10.19
140.5,25.7,25,Rail,50.7,0.8,4.16
1310.8,52.2,7,Sea,48.6,6.2,9.99
2740.3,70.1,27,Road,59.3,3.8,9.53
1611.4,44.4,15,Rail,37.2,8.6,5.17
3488.7,74.8,12,Road,67.0,7.5,10.26
2934.2,12.2,33,Road,13.1,0.2,6.82
1058.6,66.2,21,Road,71.5,1.7,7.34
661.0,84.9,25,Road,58.0,4.7,7.23
2832.6,30.2,22,Road,48.6,6.6,7.61
2029.9,33.3,14,Road,12.8,7.2,5.32
764.5,8.0,8,Road,27.8,8.2,2.78
1472.1,57.9,24,Road,29.5,0.5,6.55
1367.2,49.9,3,Rail,23.4,0.2,4.32
491.1,4.1,12,Road,95.4,6.0,3.75
2463.4,67.8,22,Multimodal,91.6,7.2,13.15
3437.6,74.7,16,Road,54.6,7.9,10.04
2591.7,81.7,7,Road,20.6,1.6,7.95
3719.2,49.3,18,Road,91.1,9.7,10.31
578.4,41.0,23,Road,74.9,2.3,5.97
1963.1,78.9,26,Sea,3.9,2.5,11.51
2744.3,36.2,38,Road,49.1,1.5,8.45
3043.6,59.2,2,Multimodal,60.5,0.4,10.0
3132.6,55.6,2,Air,6.6,8.1,3.26
3281.7,33.8,22,Rail,5.0,0.1,5.97
2933.2,8.3,38,Rail,46.4,4.6,6.64
428.6,2.4,28,Rail,0.2,0.9,2.73
3130.4,38.8,17,Road,4.7,0.4,7.15
3262.9,43.6,18,Rail,16.5,9.3,6.5
4470.7,74.1,2,Road,91.0,8.3,11.6
3121.7,37.6,35,Road,76.6,3.9,9.68
3092.3,25.7,15,Rail,45.0,4.6,6.01
2319.1,41.9,15,Rail,47.9,8.7,5.98
3906.3,21.8,34,Air,68.6,8.0,5.25
4485.8,8.7,15,Road,47.4,6.9,8.83
3506.8,10.6,18,Sea,6.4,5.4,12.72
2758.2,29.1,13,Road,73.9,6.1,7.53
359.9,1.6,38,Road,5.8,3.9,3.01
3271.7,20.2,8,Road,48.6,5.3,7.18
3190.0,71.0,16,Road,86.2,5.4,10.24
3491.2,21.5,20,Road,11.7,8.6,7.41
564.9,10.4,26,Rail,70.7,2.2,4.48
2943.5,85.4,35,Sea,4.6,2.5,14.24
1334.3,56.2,17,Road,99.3,2.1,7.4
3422.4,5.9,26,Rail,68.2,5.8,6.84
1085.5,6.1,18,Sea,96.9,7.0,9.39
3079.5,55.3,7,Sea,66.8,2.4,13.28
1331.0,48.8,35,Rail,24.2,6.8,5.96
45.4,6.6,12,Road,92.6,6.3,3.27
2851.9,20.6,1,Air,62.7,3.2,3.37
514.1,83.6,25,Rail,57.6,2.3,6.82
2968.5,51.7,16,Road,42.9,8.8,8.27
4165.6,39.9,15,Road,28.5,5.7,9.1
4361.8,22.9,11,Sea,53.0,7.0,16.01
1065.5,12.5,37,Road,36.6,9.3,5.17
3642.6,36.5,39,Multimodal,85.4,2.1,13.47
1594.2,83.1,3,Road,2.9,3.5,5.91
4052.6,4.9,39,Sea,53.0,4.3,15.35
3544.8,89.2,20,Road,83.7,2.3,11.72
337.3,19.1,23,Rail,2.8,8.4,2.83
1835.1,37.1,15,Air,28.2,0.8,3.28
1521.2,4.5,18,Road,5.2,2.4,3.65
3534.4,52.8,39,Rail,59.5,1.9,8.97
1849.2,43.8,35,Road,31.7,9.5,6.86
3082.2,60.2,29,Road,96.0,6.3,10.76
2712.9,49.1,20,Road,61.6,7.2,8.37
4390.5,36.1,15,Rail,56.2,1.1,7.84
4220.3,66.5,32,Road,91.7,1.9,12.62
1927.5,2.7,12,Road,22.4,8.1,4.35
3257.5,48.9,12,Road,56.2,5.7,8.62
3733.4,10.7,25,Rail,54.3,0.5,6.74
4045.5,39.5,34,Sea,8.2,5.7,15.62
311.3,71.3,8,Road,93.2,4.8,5.9
1362.8,13.3,24,Road,70.0,1.5,5.67
1444.4,84.3,1,Multimodal,88.8,5.9,10.46
1957.8,80.0,25,Road,98.3,1.7,9.8
765.8,37.6,34,Air,48.0,8.1,4.57
2235.4,1.0,14,Air,80.4,6.2,3.34
2986.1,71.2,36,Sea,57.8,8.7,16.4
2240.7,79.3,6,Road,97.7,4.2,9.19
2997.7,16.1,9,Sea,24.7,5.1,11.51
303.7,82.5,1,Sea,1.4,7.6,7.88
3942.6,82.3,9,Rail,18.6,5.5,8.29
4226.1,42.7,24,Road,12.8,5.7,9.55
2782.5,71.9,39,Road,43.7,5.5,9.92
3966.9,40.3,18,Road,7.7,4.9,8.36
595.8,51.0,39,Rail,22.0,8.1,5.76
3589.5,29.1,18,Rail,9.6,4.9,5.98
540.6,14.8,28,Road,48.7,9.0,3.83
1839.0,67.3,2,Rail,26.7,8.1,5.47
1460.6,0.6,37,Road,47.1,6.9,5.32
2637.2,52.4,36,Rail,8.9,9.0,6.95
1360.3,77.9,24,Air,51.7,5.4,5.94
2869.7,20.3,35,Road,13.0,8.2,7.11
1656.4,30.3,6,Road,9.9,2.4,4.29
3874.3,53.1,17,Road,31.0,0.7,9.19
2854.3,22.6,30,Rail,87.4,6.9,7.2
972.8,76.4,8,Sea,78.9,3.0,10.14
1515.9,33.3,10,Multimodal,95.9,6.3,9.44
3814.2,52.6,16,Road,46.0,0.8,9.51
1742.2,20.7,38,Multimodal,31.2,9.6,10.15
2413.4,4.2,26,Road,97.1,5.2,7.45
2922.0,16.0,31,Rail,38.2,0.1,6.14
1568.4,4.6,8,Road,0.9,4.8,3.2
1326.4,42.4,35,Air,82.0,7.9,5.82
2141.3,53.0,34,Rail,16.9,8.7,6.54
970.9,4.5,10,Rail,71.8,4.6,3.31
1282.5,8.6,12,Sea,1.5,1.3,6.13
284.0,44.0,27,Road,11.1,9.1,4.16
1371.3,72.0,19,Road,48.4,9.8,7.03
1446.6,56.7,26,Air,6.8,0.6,4.55
4328.4,9.9,15,Road,88.9,0.8,9.61
2655.8,79.9,31,Road,75.0,5.7,10.19
